level,timestamp,test_name,renoir_compile_time,renoir_execution_time,ibis_total_time
INFO,2024-06-06 16:31:58.136,test_nullable_group_reduce_join_mutate,7.4625360260s,0.0930043170s,0.0191609460s
INFO,2024-06-06 16:32:03.731,test_nullable_inner_join_select,5.4503026220s,0.0925758550s,0.0224555570s
INFO,2024-06-06 16:32:11.441,test_nullable_join_group_reduce,7.5673870550s,0.0945321130s,0.0180588100s
INFO,2024-06-06 16:32:16.876,test_nullable_left_join,5.2863802480s,0.0931745900s,0.0149668820s
INFO,2024-06-06 16:32:22.071,test_nullable_outer_join,5.0306462100s,0.1052063960s,0.0143270510s
INFO,2024-06-06 16:32:26.415,test_nullable_windowing_explicit,4.2129800390s,0.0929282180s,0.0104534610s
INFO,2024-06-06 16:32:30.502,test_nullable_windowing_explicit_group,3.9491424000s,0.0930703760s,0.0136551620s
INFO,2024-06-06 16:32:34.738,test_nullable_windowing_explicit_window_far,4.1034285520s,0.0906155650s,0.0126823440s
INFO,2024-06-06 16:32:43.022,test_nullable_windowing_implicit_mean,8.1506547910s,0.0958017480s,0.0103053760s
INFO,2024-06-06 16:32:51.297,test_nullable_windowing_implicit_sum,8.1401824330s,0.0968809610s,0.0123566360s
INFO,2024-06-06 16:32:53.976,test_non_nullable_filter_filter_select_select,2.5338349770s,0.0920360800s,0.0387918870s
INFO,2024-06-06 16:32:58.227,test_non_nullable_filter_group_mutate,4.1087889130s,0.0942588720s,0.0198269590s
INFO,2024-06-06 16:33:02.202,test_non_nullable_filter_group_mutate_reduce,3.8434474780s,0.0933399250s,0.0196723360s
INFO,2024-06-06 16:33:06.325,test_non_nullable_filter_group_select,3.9981903420s,0.0923544490s,0.0183437230s
INFO,2024-06-06 16:33:10.131,test_non_nullable_filter_reduce,3.6818699620s,0.0939486460s,0.0162096010s
INFO,2024-06-06 16:33:12.624,test_non_nullable_filter_select,2.3713969690s,0.0927368320s,0.0162174660s
INFO,2024-06-06 16:33:21.520,test_non_nullable_group_reduce_group_reduce_join,8.7543785360s,0.0958609180s,0.0273589390s
