level,timestamp,test_name,backend_name,run_count,total_time_s,renoir_compile_time_s,renoir_execute_time_s,ibis_time_s,max_memory_B,table_origin
INFO,2024-06-25 16:54:59.431,test_nullable_filter_filter_select_select,duckdb,-1,0.9424243239918724,-1,-1,-1,4263936,csv
INFO,2024-06-25 16:55:00.376,test_nullable_filter_filter_select_select,duckdb,0,0.9428964019753039,-1,-1,-1,2387968,csv
INFO,2024-06-25 16:55:01.320,test_nullable_filter_filter_select_select,duckdb,1,0.9418725720606744,-1,-1,-1,2326528,csv
INFO,2024-06-25 16:55:02.261,test_nullable_filter_filter_select_select,duckdb,2,0.9385742149315774,-1,-1,-1,118784,csv
INFO,2024-06-25 16:55:03.203,test_nullable_filter_filter_select_select,duckdb,3,0.9395483538974077,-1,-1,-1,2179072,csv
INFO,2024-06-25 16:55:04.146,test_nullable_filter_filter_select_select,duckdb,4,0.9408151839161292,-1,-1,-1,126976,csv
INFO,2024-06-25 16:55:05.090,test_nullable_filter_filter_select_select,duckdb,5,0.9411346249980852,-1,-1,-1,2125824,csv
INFO,2024-06-25 16:55:06.034,test_nullable_filter_filter_select_select,duckdb,6,0.9423006830038503,-1,-1,-1,49152,csv
INFO,2024-06-25 16:55:06.980,test_nullable_filter_filter_select_select,duckdb,7,0.9435165299801156,-1,-1,-1,2113536,csv
INFO,2024-06-25 16:55:07.924,test_nullable_filter_filter_select_select,duckdb,8,0.9419483669335023,-1,-1,-1,131072,csv
INFO,2024-06-25 16:55:08.865,test_nullable_filter_filter_select_select,duckdb,9,0.9379477989859879,-1,-1,-1,131072,csv
INFO,2024-06-25 16:55:22.771,test_nullable_filter_filter_select_select,duckdb,-1,0.013200995046645403,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:22.787,test_nullable_filter_filter_select_select,duckdb,0,0.013482523965649307,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:22.802,test_nullable_filter_filter_select_select,duckdb,1,0.012990236980840564,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:22.817,test_nullable_filter_filter_select_select,duckdb,2,0.012858379050157964,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:22.832,test_nullable_filter_filter_select_select,duckdb,3,0.01275691797491163,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:22.847,test_nullable_filter_filter_select_select,duckdb,4,0.012921007932163775,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:22.862,test_nullable_filter_filter_select_select,duckdb,5,0.012813027016818523,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:22.878,test_nullable_filter_filter_select_select,duckdb,6,0.013016173033975065,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:22.893,test_nullable_filter_filter_select_select,duckdb,7,0.01284874603152275,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:22.908,test_nullable_filter_filter_select_select,duckdb,8,0.013143645017407835,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:22.923,test_nullable_filter_filter_select_select,duckdb,9,0.012846798985265195,-1,-1,-1,0,cached
INFO,2024-06-25 16:55:23.101,test_nullable_filter_filter_select_select,polars,-1,0.13183732493780553,-1,-1,-1,150532096,csv
INFO,2024-06-25 16:55:23.246,test_nullable_filter_filter_select_select,polars,0,0.14232679805718362,-1,-1,-1,4210688,csv
INFO,2024-06-25 16:55:23.390,test_nullable_filter_filter_select_select,polars,1,0.14160347590222955,-1,-1,-1,4141056,csv
INFO,2024-06-25 16:55:23.534,test_nullable_filter_filter_select_select,polars,2,0.14206476602703333,-1,-1,-1,4227072,csv
INFO,2024-06-25 16:55:23.678,test_nullable_filter_filter_select_select,polars,3,0.1416838769800961,-1,-1,-1,4317184,csv
INFO,2024-06-25 16:55:23.822,test_nullable_filter_filter_select_select,polars,4,0.14120881399139762,-1,-1,-1,4313088,csv
INFO,2024-06-25 16:55:23.964,test_nullable_filter_filter_select_select,polars,5,0.13993807404767722,-1,-1,-1,4177920,csv
INFO,2024-06-25 16:55:24.108,test_nullable_filter_filter_select_select,polars,6,0.14159606106113642,-1,-1,-1,4272128,csv
INFO,2024-06-25 16:55:24.252,test_nullable_filter_filter_select_select,polars,7,0.14157451898790896,-1,-1,-1,-102400,csv
INFO,2024-06-25 16:55:24.396,test_nullable_filter_filter_select_select,polars,8,0.14151928201317787,-1,-1,-1,8335360,csv
INFO,2024-06-25 16:55:24.543,test_nullable_filter_filter_select_select,polars,9,0.14423314505256712,-1,-1,-1,155648,csv
INFO,2024-06-25 16:55:27.316,test_nullable_filter_filter_select_select,polars,-1,0.02613294799812138,-1,-1,-1,4460544,cached
