level,timestamp,test_name,backend_name,run_count,total_time_s,renoir_compile_time_s,renoir_execute_time_s,ibis_time_s,max_memory_B,table_origin,exception
INFO,2024-06-27 19:18:41.216,test_nullable_filter_filter_select_select,duckdb,-1,1.0438063940018765,-1,-1,-1,7725056,csv,None
INFO,2024-06-27 19:18:42.268,test_nullable_filter_filter_select_select,duckdb,0,1.046938441999373,-1,-1,-1,217088,csv,None
INFO,2024-06-27 19:18:43.318,test_nullable_filter_filter_select_select,duckdb,1,1.0460815080004977,-1,-1,-1,892928,csv,None
INFO,2024-06-27 19:18:44.395,test_nullable_filter_filter_select_select,duckdb,2,1.0724061919972883,-1,-1,-1,626688,csv,None
INFO,2024-06-27 19:18:45.404,test_nullable_filter_filter_select_select,duckdb,3,1.00521055200079,-1,-1,-1,208896,csv,None
INFO,2024-06-27 19:18:46.487,test_nullable_filter_filter_select_select,duckdb,4,1.0786316169978818,-1,-1,-1,32768,csv,None
INFO,2024-06-27 19:18:55.646,test_nullable_filter_filter_select_select,duckdb,-1,0.026387664998765104,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:18:55.670,test_nullable_filter_filter_select_select,duckdb,0,0.018937995002488606,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:18:55.695,test_nullable_filter_filter_select_select,duckdb,1,0.02054993499768898,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:18:55.719,test_nullable_filter_filter_select_select,duckdb,2,0.020515077994787134,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:18:55.743,test_nullable_filter_filter_select_select,duckdb,3,0.01980978400388267,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:18:55.768,test_nullable_filter_filter_select_select,duckdb,4,0.01979951999965124,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:18:56.024,test_nullable_filter_filter_select_select,polars,-1,0.1860345979948761,-1,-1,-1,85516288,csv,None
INFO,2024-06-27 19:18:56.200,test_nullable_filter_filter_select_select,polars,0,0.17246516699378844,-1,-1,-1,610304,csv,None
INFO,2024-06-27 19:18:56.380,test_nullable_filter_filter_select_select,polars,1,0.1756200060044648,-1,-1,-1,253952,csv,None
INFO,2024-06-27 19:18:56.558,test_nullable_filter_filter_select_select,polars,2,0.17362359399703564,-1,-1,-1,188416,csv,None
INFO,2024-06-27 19:18:56.733,test_nullable_filter_filter_select_select,polars,3,0.17064811699674465,-1,-1,-1,118784,csv,None
INFO,2024-06-27 19:18:56.913,test_nullable_filter_filter_select_select,polars,4,0.17604431299696444,-1,-1,-1,73728,csv,None
INFO,2024-06-27 19:19:00.612,test_nullable_filter_filter_select_select,polars,-1,0.03437217800092185,-1,-1,-1,5111808,cached,None
INFO,2024-06-27 19:19:00.645,test_nullable_filter_filter_select_select,polars,0,0.029042501999356318,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:19:00.679,test_nullable_filter_filter_select_select,polars,1,0.029444560001138598,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:19:00.714,test_nullable_filter_filter_select_select,polars,2,0.029495949995180126,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:19:00.748,test_nullable_filter_filter_select_select,polars,3,0.029214976995717734,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:19:00.783,test_nullable_filter_filter_select_select,polars,4,0.030090152002230752,-1,-1,-1,0,cached,None
INFO,2024-06-27 19:19:09.816,test_nullable_filter_filter_select_select,flink,-1,6.689053857000545,-1,-1,-1,1111339008,csv,None
INFO,2024-06-27 19:19:13.628,test_nullable_filter_filter_select_select,flink,0,3.806235852003738,-1,-1,-1,209043456,csv,None
INFO,2024-06-27 19:19:17.398,test_nullable_filter_filter_select_select,flink,1,3.7665101809980115,-1,-1,-1,123105280,csv,None
INFO,2024-06-27 19:19:21.011,test_nullable_filter_filter_select_select,flink,2,3.6059268440003507,-1,-1,-1,90628096,csv,None
INFO,2024-06-27 19:19:24.655,test_nullable_filter_filter_select_select,flink,3,3.63986593199661,-1,-1,-1,68804608,csv,None
INFO,2024-06-27 19:19:28.369,test_nullable_filter_filter_select_select,flink,4,3.7063445580060943,-1,-1,-1,35471360,csv,None
INFO,2024-06-27 19:19:37.672,test_nullable_filter_filter_select_select,flink,-1,7.1232351470025606,-1,-1,-1,1070796800,cached,None
INFO,2024-06-27 19:19:41.837,test_nullable_filter_filter_select_select,flink,0,4.160720981999475,-1,-1,-1,92299264,cached,None
INFO,2024-06-27 19:19:45.763,test_nullable_filter_filter_select_select,flink,1,3.921585767995566,-1,-1,-1,122871808,cached,None
INFO,2024-06-27 19:19:49.612,test_nullable_filter_filter_select_select,flink,2,3.843732444001944,-1,-1,-1,8384512,cached,None
