level,timestamp,test_name,renoir_compile_time,renoir_execution_time,ibis_total_time
INFO,2024-05-31 12:11:52.469,test_non_nullable_inner_join_select,3.5033631000s,0.0921072520s,0.0276339520s
INFO,2024-05-31 12:11:56.757,test_non_nullable_join_group_reduce,4.1520395400s,0.0896578690s,0.0232956620s
INFO,2024-05-31 12:12:00.556,test_non_nullable_left_join,3.6601512070s,0.0900425260s,0.0208638010s
INFO,2024-05-31 12:12:03.529,test_non_nullable_outer_join,2.8009086670s,0.0886034210s,0.0213331270s
INFO,2024-05-31 12:12:06.107,test_nullable_filter_filter_select_select,2.4559390880s,0.0863319590s,0.0109686840s
INFO,2024-05-31 12:12:09.266,test_nullable_filter_group_mutate,3.0306805770s,0.0874474060s,0.0113571400s
INFO,2024-05-31 12:12:12.229,test_nullable_filter_group_mutate_reduce,2.8389879040s,0.0862702850s,0.0120562150s
INFO,2024-05-31 12:12:15.266,test_nullable_filter_group_select,2.9163790450s,0.0879900590s,0.0094761430s
INFO,2024-05-31 12:12:18.119,test_nullable_filter_reduce,2.7364397570s,0.0852885840s,0.0081481891s
INFO,2024-05-31 12:12:20.590,test_nullable_filter_select,2.3545617540s,0.0848466750s,0.0091603170s
INFO,2024-05-31 12:12:25.048,test_nullable_group_reduce_group_reduce_join,4.3218703890s,0.0931969900s,0.0154950130s
INFO,2024-05-31 12:12:29.413,test_nullable_group_reduce_join_mutate,4.2236824700s,0.0903497950s,0.0175830640s
INFO,2024-05-31 12:12:33.291,test_nullable_inner_join_select,3.7283723920s,0.0963722660s,0.0206134580s
INFO,2024-05-31 12:12:37.776,test_nullable_join_group_reduce,4.3495743320s,0.0916496860s,0.0139331350s
INFO,2024-05-31 12:12:41.285,test_nullable_left_join,3.3661388220s,0.0897240890s,0.0135125000s
INFO,2024-05-31 12:12:44.170,test_nullable_outer_join,2.7364402100s,0.0902343420s,0.0139442040s
INFO,2024-05-31 12:12:47.271,test_nullable_windowing_explicit,2.9711608130s,0.0851159050s,0.0098088480s
INFO,2024-05-31 12:12:50.331,test_nullable_windowing_explicit_group,2.9201229810s,0.0862231950s,0.0129940060s
INFO,2024-05-31 12:12:53.336,test_nullable_windowing_explicit_window_far,2.8713249240s,0.0861719690s,0.0112765600s
INFO,2024-05-31 12:12:57.735,test_nullable_windowing_implicit_mean,4.2563446210s,0.0906627060s,0.0113311250s
